Season,Tier,Average Home Goals,Average Away Goals,Average Total Goals,Difference
1936,3,2.19047619,1.163419913,3.353896104,1.027056277
1937,3,1.877705628,1.006493506,2.884199134,0.871212121
1938,3,2.073593074,1.095238095,3.168831169,0.978354978
1939,3,1.761904762,1.238095238,3,0.523809524
1946,3,1.970779221,1.270562771,3.241341991,0.70021645
1947,3,1.754329004,1.163419913,2.917748918,0.590909091
1948,3,1.796536797,1.069264069,2.865800866,0.727272727
1949,3,1.775974026,1.093073593,2.869047619,0.682900433
1950,3,1.857789855,1.06884058,2.926630435,0.788949275
1951,3,1.976449275,1.101449275,3.077898551,0.875
1952,3,1.944746377,1.088768116,3.033514493,0.855978261
1953,3,1.932065217,1.04076087,2.972826087,0.891304348
1954,3,1.819746377,1.173007246,2.992753623,0.64673913
1955,3,2.046195652,1.163043478,3.20923913,0.883152174
1956,3,2.039855072,1.22192029,3.261775362,0.817934783
1957,3,1.964673913,1.191123188,3.155797101,0.773550725
1958,3,1.961956522,1.177536232,3.139492754,0.78442029
1959,3,2.03442029,1.255434783,3.289855072,0.778985507
1960,3,2.112318841,1.224637681,3.336956522,0.887681159
1961,3,1.927536232,1.282608696,3.210144928,0.644927536
1962,3,2.023550725,1.336956522,3.360507246,0.686594203
1963,3,1.93115942,1.202898551,3.134057971,0.72826087
1964,3,1.865942029,1.153985507,3.019927536,0.711956522
1965,3,1.829710145,1.119565217,2.949275362,0.710144928
1966,3,1.891304348,1.09057971,2.981884058,0.800724638
1967,3,1.789855072,0.983695652,2.773550725,0.80615942
1968,3,1.657608696,0.925724638,2.583333333,0.731884058
1969,3,1.608695652,1.036231884,2.644927536,0.572463768
1970,3,1.492753623,0.992753623,2.485507246,0.5
1971,3,1.530797101,1.018115942,2.548913043,0.512681159
1972,3,1.599637681,0.884057971,2.483695652,0.71557971
1973,3,1.523550725,0.94384058,2.467391304,0.579710145
1974,3,1.668478261,0.916666667,2.585144928,0.751811594
1975,3,1.612318841,0.996376812,2.608695652,0.615942029
1976,3,1.635869565,1.012681159,2.648550725,0.623188406
1977,3,1.574275362,0.913043478,2.487318841,0.661231884
1978,3,1.53442029,0.980072464,2.514492754,0.554347826
1979,3,1.617753623,0.960144928,2.577898551,0.657608696
1980,3,1.463768116,0.958333333,2.422101449,0.505434783
1981,3,1.498188406,1.076086957,2.574275362,0.422101449
1982,3,1.820652174,1.108695652,2.929347826,0.711956522
1983,3,1.804347826,1.06884058,2.873188406,0.735507246
1984,3,1.610507246,1.112318841,2.722826087,0.498188406
1985,3,1.704710145,1.10326087,2.807971014,0.601449275
1986,3,1.55615942,1.108695652,2.664855072,0.447463768
1987,3,1.574275362,1.115942029,2.690217391,0.458333333
1988,3,1.634057971,1.074275362,2.708333333,0.559782609
1989,3,1.501811594,1.059782609,2.561594203,0.442028986
1990,3,1.458333333,1.043478261,2.501811594,0.414855072
1991,3,1.554347826,1.045289855,2.599637681,0.509057971
1992,3,1.585144928,1.094202899,2.679347826,0.490942029
1993,3,1.592391304,1.139492754,2.731884058,0.452898551
1994,3,1.492753623,1.115942029,2.608695652,0.376811594
1995,3,1.52173913,1.039855072,2.561594203,0.481884058
1996,3,1.375,0.923913043,2.298913043,0.451086957
1997,3,1.418478261,1.003623188,2.422101449,0.414855072
