,Team,Opponent,Year,Goals,OppGoals,Rating,OppRating,Rd,OppRd,HF,HomeAway,RatingDif,EffRd,RatingDifRat,EffHf
1770,Sunderland,Wigan Athletic,2011,1,2,1714.9118396861031,1659.4855422626451,54.0702731723455,54.228269246091,55.7248813933309,1,55.42629742345798,76.57871523052998,0.7237820229368503,55.7248813933309
1771,Wigan Athletic,Sunderland,2011,2,1,1659.4855422626451,1714.9118396861031,54.228269246091,54.0702731723455,55.7248813933309,-1,-55.42629742345798,76.57871523052998,-0.7237820229368503,-55.7248813933309
1772,Manchester United,Newcastle United,2011,1,1,2012.703185333487,1811.8302253816717,57.64188900751764,54.7276119080485,55.7248813933309,1,200.87295995181535,79.48395355990387,2.5272139967273453,55.7248813933309
1773,Newcastle United,Manchester United,2011,1,1,1811.8302253816717,2012.703185333487,54.7276119080485,57.64188900751764,55.7248813933309,-1,-200.87295995181535,79.48395355990387,-2.5272139967273453,-55.7248813933309
1774,Liverpool,Manchester City,2011,1,1,1870.7664829067764,1931.4825356926333,56.726812224580094,55.019449107350276,55.7248813933309,1,-60.716052785856846,79.02576165554545,-0.768307087636861,55.7248813933309
1775,Manchester City,Liverpool,2011,1,1,1931.4825356926333,1870.7664829067764,55.019449107350276,56.726812224580094,55.7248813933309,-1,60.716052785856846,79.02576165554545,0.768307087636861,-55.7248813933309
1776,Swansea City,Aston Villa,2011,0,0,1669.9818611490161,1784.7148703118637,53.57875166522276,57.19164427323746,55.7248813933309,1,-114.73300916284757,78.36814917222523,-1.464026015348472,55.7248813933309
1777,Aston Villa,Swansea City,2011,0,0,1784.7148703118637,1669.9818611490161,57.19164427323746,53.57875166522276,55.7248813933309,-1,114.73300916284757,78.36814917222523,1.464026015348472,-55.7248813933309
1778,Newcastle United,Chelsea,2011,0,3,1817.0189658877964,1923.918014064019,54.39375891987573,59.64504238160891,55.811570565756185,1,-106.89904817622255,80.7230579830663,-1.324269060751481,55.811570565756185
1779,Chelsea,Newcastle United,2011,3,0,1923.918014064019,1817.0189658877964,59.64504238160891,54.39375891987573,55.811570565756185,-1,106.89904817622255,80.7230579830663,1.324269060751481,-55.811570565756185
1780,Tottenham Hotspur,Bolton Wanderers,2011,3,0,1892.552563757682,1679.3124553219443,53.966366183675966,53.8015352251875,55.811570565756185,1,213.24010843573774,76.20350301434767,2.7982979784484274,55.811570565756185
1781,Bolton Wanderers,Tottenham Hotspur,2011,0,3,1679.3124553219443,1892.552563757682,53.8015352251875,53.966366183675966,55.811570565756185,-1,-213.24010843573774,76.20350301434767,-2.7982979784484274,-55.811570565756185
1782,Queens Park Rangers,West Bromwich Albion,2011,1,1,1682.6341879894978,1725.3397461082557,52.33921777261898,55.03828630881091,55.811570565756185,1,-42.705558118757835,75.95134414123477,-0.562275211869128,55.811570565756185
