Club,Manager,From,To,Tenure (days),Gap (days),Caretaker?,Exclude?,Data concern?,Comments
Notts Co,Andy Beattie,1/2/67,1/9/67,212,0,,,Y,
Notts Co,Billy Gray,1/9/67,1/9/68,366,0,,,Y,
Notts Co,Jack Wheeler,1/9/68,1/11/69,426,0,,,Y,
Notts Co,Jimmy Sirrel,1/11/69,15/10/1975,2174,0,,,,
Notts Co,Ron Fenton,1/11/75,5/10/77,704,17,,,,
Notts Co,Jimmy Sirrel,5/10/77,1/7/82,1730,0,,,,
Notts Co,Howard Wilkinson,1/7/82,30/06/1983,364,0,,,,
Notts Co,Larry Lloyd,7/7/83,21/10/1984,472,7,,,,
Notts Co,Richie Barker,5/11/84,19/04/1985,165,15,,,,
Notts Co,Jimmy Sirrel,1/5/85,31/05/1987,760,12,,,,
Notts Co,John Barnwell,7/6/87,2/12/88,544,7,,,,
Notts Co,Neil Warnock,5/1/89,14/01/1993,1470,34,,,,
Notts Co,Mick Walker,14/01/1993,14/09/1994,608,0,,,,
Notts Co,Russell Slade,15/09/1994,12/1/95,119,1,,,,
Notts Co,Howard Kendall,12/1/95,1/4/95,79,0,,,,
Notts Co,Steve Nicol & Wayne Jones,1/4/95,5/6/95,65,0,Y,Y,,
Notts Co,Colin Murphy,5/6/95,23/12/1996,567,0,,,,
Notts Co,Sam Allardyce,16/01/1997,14/10/1999,1001,24,,,,
Notts Co,Gary Brazil,23/10/1999,28/06/2000,249,9,,,,
Notts Co,Jocky Scott,28/06/2000,10/10/01,469,0,,,,
Notts Co,Gary Brazil,10/10/01,7/1/02,89,0,,,,
Notts Co,Bill Dearden,7/1/02,7/1/04,730,0,,,,
Notts Co,Gary Mills,7/1/04,4/11/04,302,0,,,,
Notts Co,Ian Richardson,4/11/04,17/05/2005,194,0,,,,
Notts Co,Gudjon Thordarson,17/05/2005,12/6/06,391,0,,,,
Notts Co,Steve Thompson,12/6/06,16/10/2007,491,0,,,,
Notts Co,Ian McParland,16/10/2007,12/10/09,727,0,,,,
Notts Co,Hans Backe,12/10/09,15/12/2009,64,0,,,,
Notts Co,Dave Kevan,15/12/2009,22/02/2010,69,0,Y,Y,,
Notts Co,Steve Cotterill,23/02/2010,27/05/2010,93,1,,,,
Notts Co,Craig Short,4/6/10,24/10/2010,142,8,,,,
Notts Co,Paul Ince,27/10/2010,3/4/11,158,3,,,,
Notts Co,Martin Allen,11/4/11,18/02/2012,313,8,,,,
Notts Co,Keith Curle,20/02/2012,2/2/13,348,2,,,,
Notts Co,Chris Kiwomya,2/2/13,27/10/2013,267,0,,,,
Notts Co,Shaun Derry,6/11/13,23/03/2015,502,10,,,,
Notts Co,Ricardo Moniz,7/4/15,19/02/2019,1414,15,,,,
Oldham,Gordon Hurst,1/4/65,1/1/66,275,,,,Y,
Oldham,Jimmy McIlroy,1/1/66,1/8/68,943,0,,,Y,
Oldham,Jack Rowley,1/10/68,1/12/69,426,61,,,Y,
Oldham,Jimmy Frizzell,1/3/70,12/6/82,4486,90,,,,
Oldham,Joe Royle,14/07/1982,10/11/94,4502,32,,,,
Oldham,Graeme Sharp,16/11/1994,11/2/97,818,6,,,,
Oldham,Neil Warnock,21/02/1997,7/5/98,440,10,,,,
Oldham,Andy Ritchie,7/5/98,31/10/2001,1273,0,,,,
Oldham,Billy Ursom,31/10/2001,7/11/01,7,0,Y,Y,,
Oldham,Mick Wadsworth,7/11/01,31/05/2002,205,0,,,,
Oldham,Iain Dowie,31/05/2002,19/12/2003,567,0,,,,
Oldham,John Sheridan & David Eyres,20/12/2003,10/3/04,81,1,Y,Y,,
Oldham,Brian Talbot,10/3/04,25/02/2005,352,0,,,,
Oldham,Tony Philliskirk,25/02/2005,1/3/05,4,0,Y,Y,,
Oldham,Ronnie Moore,1/3/05,1/6/06,457,0,,,,
Oldham,John Sheridan,1/6/06,15/03/2009,1018,0,,,,
Oldham,Joe Royle,15/03/2009,2/5/09,48,0,Y,Y,,Turned down permanent role
Oldham,Dave Penney,3/5/09,6/5/10,368,1,,,,
Oldham,Paul Dickov,9/6/10,3/2/13,970,34,,,,
Oldham,Lee Johnson,18/03/2013,25/02/2015,709,43,,,,
Oldham,Dean Holden,25/02/2015,6/5/15,70,0,,,,Initially appointed as caretaker - when did this become permanent?
Oldham,Darren Kelly,6/5/15,12/9/15,129,0,,,,
Oldham,David Dunn,13/09/2015,7/10/15,24,1,,,,Caretaker spell before signing permanent deal
Oldham,David Dunn,7/10/15,19/02/2019,1231,0,,,,
Oxford,Arthur Turner,1/1/59,28/02/1969,3711,,,,Y,
Oxford,Ron Saunders,1/3/69,30/06/1969,121,1,,,Y,
Oxford,Gerry Summers,1/7/69,1/10/75,2283,1,,,Y,
Oxford,Mike Brown,1/10/75,22/07/1979,1390,0,,,,
Oxford,Bill Asprey,22/07/1979,1/12/80,498,0,,,,
Oxford,Ian Greaves,1/12/80,2/2/82,428,0,,,,
Oxford,Jim Smith,1/3/82,11/6/85,1198,27,,,,
Oxford,Maurice Evans,11/6/85,8/3/88,1001,0,,,,
Oxford,Mark Lawrenson,24/03/1988,25/10/1988,215,16,,,,
Oxford,Brian Horton,25/10/1988,27/08/1993,1767,0,,,,
Oxford,Maurice Evans,27/08/1993,10/9/93,14,0,Y,Y,,
Oxford,Denis Smith,10/9/93,24/12/1997,1566,0,,,,
Oxford,Malcolm Crosby,24/12/1997,24/01/1998,31,0,Y,Y,,
Oxford,Malcolm Shotton,24/01/1998,25/10/1999,639,0,,,,
Oxford,Maurice Evans & Mickey Lewis,25/10/1999,3/2/00,101,0,Y,N,,Caretaker but for a prolonged period
Oxford,Denis Smith,3/2/00,2/10/00,242,0,,,,
Oxford,Mike Ford,3/10/00,31/10/2000,28,1,Y,Y,,
Oxford,David Kemp,31/10/2000,30/04/2001,181,0,,,,
Oxford,Mike Ford,1/5/01,8/5/01,7,1,Y,Y,,
Oxford,Mark Wright,8/5/01,23/11/2001,199,0,,,,
Oxford,Ian Atkins,23/11/2001,21/03/2004,849,0,,,,
Oxford,Graham Rix,22/03/2004,14/11/2004,237,1,,,,
Oxford,Darren Patterson,14/11/2004,9/12/04,25,0,Y,Y,,
Oxford,Ramon Diaz,9/12/04,4/5/05,146,0,,,,
Oxford,David Oldfield,4/5/05,6/5/05,2,0,Y,Y,,
Oxford,Brian Talbot,6/5/05,14/03/2006,312,0,,,,
Oxford,Darren Patterson,14/03/2006,22/03/2006,8,0,Y,Y,,
Oxford,Jim Smith,22/03/2006,9/11/07,597,0,,,,
Oxford,Darren Patterson,9/11/07,30/11/2008,387,0,,,,
Oxford,Chris Wilder,21/12/2008,26/01/2014,1862,21,,,,
Oxford,Mickey Lewis,27/01/2014,22/03/2014,54,1,Y,Y,,
Oxford,Gary Waddock,22/03/2014,4/7/14,104,0,,,,
Oxford,Michael Appleton,4/7/14,19/02/2019,1691,0,,,,
Peterborough,Gordon Clark,1/4/64,1/9/67,1248,,,,Y,
Peterborough,Norman Rigby,1/9/67,1/1/69,488,0,,,Y,
Peterborough,Jim Iley,1/1/69,30/09/1972,1368,0,,,Y,
Peterborough,Noel Cantwell,9/10/72,10/5/77,1674,9,,,,
Peterborough,John Barnwell,10/5/77,9/11/78,548,0,,,,
Peterborough,Billy Hails,9/11/78,15/02/1979,98,0,,,,
Peterborough,Peter Morris,24/02/1979,25/05/1982,1186,9,,,,
Peterborough,Martin Wilkinson,29/06/1982,1/2/83,217,35,,,,
Peterborough,Bill Harvey,1/2/83,1/5/83,89,0,,,,
Peterborough,John Wile,1/5/83,1/11/86,1280,0,,,,
Peterborough,Lil Fuccillo,1/11/86,19/11/1986,18,0,Y,Y,,
Peterborough,Noel Cantwell,19/11/1986,12/7/88,601,0,,,,
Peterborough,Mick Jones,12/7/88,31/08/1989,415,0,,,,
Peterborough,Mark Lawrenson,6/9/89,9/11/90,429,6,,,,
Peterborough,Dave Booth,16/11/1990,22/01/1991,67,7,Y,Y,,
Peterborough,Christopher Turner,22/01/1991,1/12/92,679,0,,,,
Peterborough,Lil Fuccillo,1/12/92,29/12/1993,393,0,,,,
Peterborough,Christopher Turner,29/12/1993,1/8/94,215,0,,,,
Peterborough,John Still,1/8/94,24/10/1995,449,0,,,,
Peterborough,Mick Halsall,24/10/1995,31/07/1996,281,0,,,,
Peterborough,Barry Fry,1/8/96,31/05/2005,3225,1,,,,
Peterborough,Mark Wright,31/05/2005,25/01/2006,239,0,,,,
Peterborough,Steve Bleasdale,26/01/2006,30/05/2006,124,1,,,,
Peterborough,Keith Alexander,30/05/2006,15/01/2007,230,0,,,,
Peterborough,Tommy Taylor,15/01/2007,20/01/2007,5,0,Y,Y,,
Peterborough,Darren Ferguson,21/01/2007,9/11/09,1023,1,,,,
Peterborough,Mark Cooper,16/11/2009,1/2/10,77,7,,,,
Peterborough,Jim Gannon,2/2/10,6/4/10,63,1,,,,
Peterborough,Gary Johnson,6/4/10,10/1/11,279,0,,,,
Peterborough,Darren Ferguson,12/1/11,21/02/2015,1501,2,,,,
Peterborough,Dave Robertson,21/02/2015,6/9/15,197,0,,,,
Peterborough,Graham Westley,25/09/2015,19/02/2019,1243,19,,,,
Plymouth,Derek Ufton,1/5/65,1/2/68,1006,,,,Y,
Plymouth,Billy Bingham,1/2/68,1/3/70,759,0,,,Y,
Plymouth,Ellis Stuttard,1/3/70,1/10/72,945,0,,,Y,
Plymouth,Tony Waiters,11/10/72,21/04/1977,1653,10,,,,
Plymouth,Mike Kelly,1/5/77,14/02/1978,289,10,,,,
Plymouth,Lennie Lawrence,14/02/1978,16/03/1978,30,0,Y,Y,,
Plymouth,Malcolm Allison,16/03/1978,5/1/79,295,0,,,,
Plymouth,Bobby Saxton,5/1/79,31/05/1981,877,0,,,,
Plymouth,Bobby Moncur,1/6/81,30/09/1983,851,1,,,,
Plymouth,Johnny Hore,1/10/83,19/10/1984,384,1,,,,
Plymouth,Dave Smith,1/11/84,30/06/1988,1337,13,,,,
Plymouth,Ken Brown,6/7/88,6/2/90,580,6,,,,
Plymouth,David Kemp,1/3/90,28/02/1992,729,23,,,,
Plymouth,Peter Shilton,2/3/92,11/1/95,1045,3,,,,
Plymouth,Steve McCall,12/1/95,29/03/1995,76,1,,,,
Plymouth,Neil Warnock,22/06/1995,3/2/97,592,85,,,,Was there a caretaker beforehand?
Plymouth,Mick Jones,3/2/97,21/06/1998,503,0,,,,
Plymouth,Kevin Hodges,21/06/1998,4/10/00,836,0,,,,
Plymouth,Kevin Summerfield,4/10/00,31/10/2000,27,0,Y,Y,,
Plymouth,Paul Sturrock,31/10/2000,4/3/04,1220,0,,,,
Plymouth,Kevin Summerfield,5/3/04,20/04/2004,46,1,Y,Y,,
Plymouth,Bobby Williamson,20/04/2004,6/9/05,504,0,,,,
Plymouth,Jocky Scott,6/9/05,23/09/2005,17,0,Y,Y,,
Plymouth,Tony Pulis,23/09/2005,14/06/2006,264,0,,,,
Plymouth,Ian Holloway,28/06/2006,21/11/2007,511,14,,,,
Plymouth,Tim Breacker,21/11/2007,27/11/2007,6,0,Y,Y,,
Plymouth,Paul Sturrock,27/11/2007,10/12/09,744,0,,,,
Plymouth,Paul Mariner,10/12/09,2/5/10,143,0,,,,
Plymouth,Peter Reid,24/06/2010,18/09/2011,451,53,,,,
Plymouth,Carl Fletcher,19/09/2011,1/1/13,470,1,,,,
Plymouth,John Sheridan,6/1/13,28/05/2015,872,5,,,,
Plymouth,Derek Adams,11/6/15,19/02/2019,1349,14,,,,
Port Vale,Jackie Mudie,1/3/65,1/5/67,791,,,,Y,
Port Vale,Stanley Matthews,1/5/67,30/04/1968,365,0,,,Y,
Port Vale,Gordon Lee,1/5/68,14/01/1974,2084,1,,,,
Port Vale,Roy Sproson,31/01/1974,31/10/1977,1369,17,,,,
Port Vale,Colin Harper,31/10/1977,1/11/77,1,0,Y,Y,,
Port Vale,Bobby Smith,1/11/77,17/05/1978,197,0,,,,
Port Vale,Dennis Butler,17/05/1978,30/08/1979,470,0,,,,
Port Vale,Alan Bloor,30/08/1979,1/12/79,93,0,Y,Y,,
Port Vale,John McGrath,21/12/1979,5/12/83,1445,20,,,,
Port Vale,John Rudge,5/12/83,18/01/1999,5523,0,,,,
Port Vale,Bill Dearden & Mark Grew,18/01/1999,22/01/1999,4,0,Y,Y,,
Port Vale,Brian Horton,22/01/1999,12/2/04,1847,0,,,,
Port Vale,Martin Foyle,13/02/2004,26/09/2007,1321,1,,,,
Port Vale,Dean Glover,26/09/2007,5/11/07,40,0,Y,Y,,
Port Vale,Lee Sinnott,5/11/07,22/09/2008,322,0,,,,
Port Vale,Dean Glover,6/10/08,3/5/09,209,14,,,,
Port Vale,Micky Adams,5/6/09,30/12/2010,573,33,,,,
Port Vale,Geoff Horsfield & Mark Grew,1/1/11,6/1/11,5,2,Y,Y,,
Port Vale,Jim Gannon,6/1/11,21/03/2011,74,0,,,,
Port Vale,Mark Grew,22/03/2011,13/05/2011,52,1,Y,Y,,
Port Vale,Micky Adams,13/05/2011,18/09/2014,1224,0,,,,
Port Vale,Robert Page,18/09/2014,19/02/2019,1615,0,,,,
Portsmouth,George Smith,1/4/61,1/4/70,3287,,,,Y,
Portsmouth,Ron Tindall,1/4/70,10/5/73,1135,0,,,,
Portsmouth,John Mortimore,10/5/73,6/9/74,484,0,,,,
Portsmouth,Ron Tindall,6/9/74,13/09/1974,7,0,Y,Y,,
Portsmouth,Ian St John,13/09/1974,4/5/77,964,0,,,,
Portsmouth,Jimmy Dickinson,4/5/77,1/5/79,727,0,,,,
Portsmouth,Frank Burrows,1/5/79,1/5/82,1096,0,,,,
Portsmouth,Bobby Campbell,21/05/1982,11/5/84,721,20,,,,
Portsmouth,Alan Ball,11/5/84,17/01/1989,1712,0,,,,
Portsmouth,John Gregory,17/01/1989,3/1/90,351,0,,,,
Portsmouth,Frank Burrows,23/01/1990,13/03/1991,414,20,,,,
Portsmouth,Graham Paddon,17/05/1991,1/6/91,15,65,Y,Y,,
Portsmouth,Jim Smith,1/6/91,1/2/95,1341,0,,,,
Portsmouth,Terry Fenwick,4/2/95,13/01/1998,1074,3,,,,Fixed data - first match in charge was 4/2/85
Portsmouth,Keith Waldon,13/01/1998,26/01/1998,13,0,Y,Y,,
Portsmouth,Alan Ball,26/01/1998,9/12/99,682,0,,,,
Portsmouth,Bob McNabb,9/12/99,13/01/2000,35,0,Y,Y,,
Portsmouth,Tony Pulis,13/01/2000,12/10/00,273,0,,,,
Portsmouth,Steve Claridge,12/10/00,25/02/2001,136,0,,,,
Portsmouth,Graham Rix,25/02/2001,25/03/2002,393,0,,,,
Portsmouth,Harry Redknapp,25/03/2002,24/11/2004,975,0,,,,
Portsmouth,Velimir Zajec,24/11/2004,7/4/05,134,0,,,,
Portsmouth,Alain Perrin,7/4/05,24/11/2005,231,0,,,,
Portsmouth,Joe Jordan,24/11/2005,7/12/05,13,0,Y,Y,,
Portsmouth,Harry Redknapp,7/12/05,25/10/2008,1053,0,,,,
Portsmouth,Tony Adams,25/10/2008,9/2/09,107,0,,,,
Portsmouth,Paul Hart,9/2/09,24/11/2009,288,0,,,,
Portsmouth,Ian Woan & Paul Groves,24/11/2009,26/11/2009,2,0,Y,Y,,
Portsmouth,Avram Grant,26/11/2009,21/05/2010,176,0,,,,
Portsmouth,Steve Cotterill,17/06/2010,14/10/2011,484,27,,,,
Portsmouth,Michael Appleton,10/11/11,8/11/12,364,27,,,,
Portsmouth,Guy Whittingham,8/11/12,25/11/2013,382,0,,,,
Portsmouth,Richie Barker,9/12/13,27/03/2014,108,14,,,,
Portsmouth,Andy Awford,27/03/2014,14/04/2015,383,0,,,,
Portsmouth,Paul Cook,12/5/15,19/02/2019,1379,28,,,,
Preston,Jimmy Milne,1/4/61,1/11/68,2771,,,,Y,
Preston,Bobby Seith,1/11/68,31/05/1970,576,0,,,Y,
Preston,Alan Ball,1/8/70,12/2/73,926,62,,,Y,
Preston,Bobby Charlton,4/5/73,21/08/1975,839,81,,,,
Preston,Harry Catterick,27/08/1975,1/5/77,613,6,,,,
Preston,Nobby Stiles,22/07/1977,1/6/81,1410,82,,,,
Preston,Tommy Docherty,1/6/81,3/12/81,185,0,,,,
Preston,Alan Kelly,3/12/81,9/12/81,6,0,Y,Y,,
Preston,Gordon Lee,9/12/81,20/12/1983,741,0,,,,
Preston,Alan Kelly,21/12/1983,1/4/85,467,1,,,,
Preston,Tommy Booth,1/4/85,24/01/1986,298,0,,,,
Preston,Brian Kidd,24/01/1986,21/03/1986,56,0,,,,
Preston,Jonathan Clark,22/03/1986,3/5/86,42,1,Y,Y,,
Preston,John McGrath,3/5/86,13/02/1990,1382,0,,,,
Preston,Les Chapman,17/02/1990,29/09/1992,955,4,,,,
Preston,Sam Allardyce,30/09/1992,30/11/1992,61,1,Y,Y,,
Preston,John Beck,1/12/92,2/12/94,731,1,,,,
Preston,Gary Peters,2/12/94,12/1/98,1137,0,,,,
Preston,David Moyes,12/1/98,15/03/2002,1523,0,,,,
Preston,Kelham O'Hanlon,15/03/2002,28/04/2002,44,0,Y,Y,,
Preston,Craig Brown,29/04/2002,29/08/2004,853,1,,,,
Preston,Billy Davies,29/08/2004,2/6/06,642,0,,,,
Preston,Paul Simpson,17/06/2006,13/11/2007,514,15,,,,
Preston,Rob Kelly,13/11/2007,20/11/2007,7,0,Y,Y,,
Preston,Alan Irvine,20/11/2007,29/12/2009,770,0,,,,
Preston,Rob Kelly,29/12/2009,6/1/10,8,0,Y,Y,,
Preston,Darren Ferguson,6/1/10,30/12/2010,358,0,,,,
Preston,David Unsworth,30/12/2010,6/1/11,7,0,Y,Y,,
Preston,Phil Brown,6/1/11,14/12/2011,342,0,,,,
Preston,Graham Alexander,14/12/2011,14/01/2012,31,0,Y,Y,,
Preston,Graham Westley,14/01/2012,13/02/2013,396,0,,,,
Preston,Simon Grayson,18/02/2013,19/02/2019,2192,5,,,,
QPR,Alec Stock,1/8/59,1/8/68,3288,,,,Y,
QPR,"Bill Dodgin, Jnr",1/8/68,1/11/68,92,0,,,Y,
QPR,Tommy Docherty,1/11/68,30/11/1968,29,0,,,Y,
QPR,Les Allen,1/12/68,6/1/71,766,1,,,,
QPR,Gordon Jago,6/1/71,27/09/1974,1360,0,,,,
QPR,Stan Anderson,27/09/1974,16/10/1974,19,0,Y,Y,,
QPR,Dave Sexton,16/10/1974,9/7/77,997,0,,,,
QPR,Frank Sibley,10/7/77,29/07/1978,384,1,,,,
QPR,Steve Burtenshaw,10/8/78,10/5/79,273,12,,,,
QPR,Tommy Docherty,11/5/79,1/10/80,509,1,,,,
QPR,Terry Venables,1/10/80,24/05/1984,1331,0,,,,
QPR,Gordon Jago,28/05/1984,5/6/84,8,4,Y,Y,,
QPR,Alan Mullery,20/06/1984,5/12/84,168,15,,,,
QPR,Frank Sibley,5/12/84,1/6/85,178,0,Y,N,,Caretaker but for a prolonged period
QPR,Jim Smith,11/6/85,4/12/88,1272,10,,,,
QPR,Trevor Francis,14/12/1988,27/11/1989,348,10,,,,
QPR,Don Howe,28/11/1989,21/05/1991,539,1,,,,
QPR,Gerry Francis,1/6/91,11/11/94,1259,11,,,,
QPR,Ray Wilkins,15/11/1994,4/9/96,659,4,,,,
QPR,Stewart Houston,16/09/1996,10/11/97,420,12,,,,
QPR,John Hollins,11/11/97,5/12/97,24,1,Y,Y,,
QPR,Ray Harford,5/12/97,28/09/1998,297,0,,,,
QPR,Iain Dowie,28/09/1998,16/10/1998,18,0,Y,Y,,
QPR,Gerry Francis,16/10/1998,25/02/2001,863,0,,,,
QPR,Ian Holloway,26/02/2001,6/2/06,1806,1,,,,
QPR,Gary Waddock,6/2/06,19/09/2006,225,0,Y,N,,Caretaker but for a prolonged period
QPR,John Gregory,20/09/2006,1/10/07,376,1,,,,
QPR,Mick Harford,1/10/07,29/10/2007,28,0,Y,Y,,
QPR,LuigiDe Canio,29/10/2007,12/5/08,196,0,,,,
QPR,Iain Dowie,14/05/2008,24/10/2008,163,2,,,,
QPR,Gareth Ainsworth,24/10/2008,19/11/2008,26,0,Y,Y,,
QPR,Paulo Sousa,19/11/2008,9/4/09,141,0,,,,
QPR,Gareth Ainsworth,9/4/09,3/5/09,24,0,Y,Y,,
QPR,Jim Magilton,3/6/09,16/12/2009,196,31,,,,
QPR,Steve Gallen,16/12/2009,17/12/2009,1,0,Y,Y,,
QPR,Paul Hart,17/12/2009,15/01/2010,29,0,,,,
QPR,Mick Harford,15/01/2010,2/3/10,46,0,Y,Y,,
QPR,Neil Warnock,2/3/10,8/1/12,677,0,,,,
QPR,Mark Hughes,10/1/12,23/11/2012,318,2,,,,
QPR,Mark Bowen & Eddie Niedzwiecki,23/11/2012,24/11/2012,1,0,Y,Y,,
QPR,Harry Redknapp,24/11/2012,3/2/15,801,0,,,,
QPR,Chris Ramsey,3/2/15,19/05/2015,105,0,Y,Y,,Caretaker spell before signing permanent deal
QPR,Chris Ramsey,19/05/2015,4/11/15,169,0,,,,
QPR,Neil Warnock,4/11/15,4/12/15,30,0,Y,Y,,
QPR,Jimmy Floyd Hasselbaink,4/12/15,19/02/2019,1173,0,,,,
Reading,Roy Bentley,1/1/63,1/2/69,2223,,,,Y,
Reading,Ray Henderson,1/2/69,1/4/69,59,0,Y,Y,Y,
Reading,Jack Mansell,1/4/69,1/10/71,913,0,,,Y,
Reading,Jimmy Wailbanks,1/10/71,13/01/1972,104,0,Y,N,,Caretaker but for a prolonged period
Reading,Charlie Hurley,13/01/1972,1/5/77,1935,0,,,,
Reading,Maurice Evans,26/05/1977,31/01/1984,2441,25,,,,
Reading,Ian Branfoot,31/01/1984,23/10/1989,2092,0,,,,
Reading,Lew Chatterley,23/10/1989,14/11/1989,22,0,Y,Y,,
Reading,Ian Porterfield,14/11/1989,1/4/91,503,0,,,,
Reading,Eddie Niedzwicki,1/4/91,30/04/1991,29,0,Y,Y,,
Reading,John Haselden,30/04/1991,10/5/91,10,0,Y,Y,,
Reading,Mark McGhee,10/5/91,14/12/1994,1314,0,,,,
Reading,Jimmy Quinn & Mick Gooding,5/1/95,9/5/97,855,22,,,,
Reading,Terry Bullivant,30/06/1997,18/03/1998,261,52,,,,
Reading,Alan Pardew,18/03/1998,25/03/1998,7,0,Y,Y,,
Reading,Tommy Burns,25/03/1998,16/09/1999,540,0,,,,
Reading,Alan Pardew,16/09/1999,10/9/03,1455,0,,,,
Reading,Kevin Dillon,10/9/03,9/10/03,29,0,Y,Y,,
Reading,Steve Coppell,9/10/03,12/5/09,2042,0,,,,
Reading,Brendan Rodgers,5/6/09,16/12/2009,194,24,,,,
Reading,Brian McDermott,16/12/2009,11/3/13,1181,0,,,,
Reading,Nigel Adkins,25/03/2013,15/12/2014,630,14,,,,
Reading,Steve Clarke,16/12/2014,4/12/15,353,1,,,,
Reading,Martin Kuhl,4/12/15,19/02/2019,1173,0,Y,Y,,
Rochdale,Tony Collins,1/6/60,30/09/1967,2677,,,,Y,
Rochdale,Bob Stokoe,1/10/67,1/10/68,366,1,,,Y,
Rochdale,Len Richley,1/10/68,1/2/70,488,0,,,Y,
Rochdale,Dick Conner,1/2/70,1/5/73,1185,0,,,Y,
Rochdale,Walter Joyce,1/7/73,6/5/76,1040,61,,,,
Rochdale,Brian Green,1/6/76,1/9/77,457,26,,,Y,
Rochdale,Mike Ferguson,1/9/77,1/11/78,426,0,,,,
Rochdale,Doug Collins,13/01/1979,19/11/1979,310,73,,,,
Rochdale,Bob Stokoe,20/11/1979,1/6/80,194,1,,,,
Rochdale,Peter Madden,1/6/80,1/3/83,1003,0,,,,
Rochdale,Jimmy Greenhoff,1/3/83,12/3/84,377,0,,,,
Rochdale,Vic Halom,1/5/84,1/12/86,944,50,,,,
Rochdale,Eddie Gray,1/12/86,30/06/1988,577,0,,,,
Rochdale,Danny Bergara,4/7/88,1/3/89,240,4,,,,
Rochdale,Terry Dolan,1/3/89,31/01/1991,701,0,,,,
Rochdale,Dave Sutton,19/02/1991,28/11/1994,1378,19,,,,
Rochdale,Mick Docherty,12/1/95,31/07/1996,566,45,,,,
Rochdale,Graham Barrow,1/8/96,2/5/99,1004,1,,,,
Rochdale,David Hamilton,2/5/99,16/06/1999,45,0,Y,Y,,
Rochdale,Steve Parkin,16/06/1999,9/11/01,877,0,,,,
Rochdale,David Hamilton & Jamie Hoyland,9/11/01,11/12/01,32,0,Y,Y,,
Rochdale,John Hollins,11/12/01,14/05/2002,154,0,,,,
Rochdale,Paul Simpson,29/05/2002,7/5/03,343,15,,,,
Rochdale,Alan Buckley,1/6/03,30/12/2003,212,25,,,,
Rochdale,Steve Parkin,31/12/2003,16/12/2006,1081,1,,,,
Rochdale,Keith Hill,16/12/2006,1/6/11,1628,0,,,,
Rochdale,Steve Eyre,18/06/2011,19/12/2011,184,17,,,,
Rochdale,Chris Beech,20/12/2011,23/01/2012,34,1,Y,Y,,
Rochdale,John Coleman,24/01/2012,21/01/2013,363,1,,,,
Rochdale,Keith Hill,22/01/2013,19/02/2019,2219,1,,,,
Rotherham,Jack Mansell,1/8/65,31/05/1967,668,,,,Y,
Rotherham,Tommy Docherty,1/11/67,30/11/1968,395,154,,,Y,Was there a caretaker beforehand?
Rotherham,Jimmy McAnearney,1/12/68,1/5/73,1612,1,,,Y,
Rotherham,Jimmy McGuigan,1/5/73,13/11/1979,2387,0,,,,
Rotherham,Ian Porterfield,30/12/1979,30/06/1981,548,47,,,,
Rotherham,Emlyn Hughes,1/7/81,21/03/1983,628,1,,,,
Rotherham,George Kerr,21/03/1983,31/05/1985,802,0,,,,
Rotherham,Norman Hunter,18/06/1985,9/12/87,904,18,,,,
Rotherham,John Breckin,9/12/87,23/12/1987,14,0,Y,Y,Y,Assume caretaker?
Rotherham,Dave Cusack,23/12/1987,1/4/88,100,0,,,,
Rotherham,Billy McEwan,1/4/88,1/1/91,1005,0,,,,
Rotherham,Phil Henson,1/1/91,14/09/1994,1352,0,,,,
Rotherham,John McGovern & Archie Gemmill,14/09/1994,31/07/1996,686,0,,,,
Rotherham,Danny Bergara,1/8/96,24/05/1997,296,1,,,,
Rotherham,Ronnie Moore,24/05/1997,31/01/2005,2809,0,,,,
Rotherham,Alan Knill,31/01/2005,7/4/05,66,0,Y,Y,,
Rotherham,Mick Harford,7/4/05,10/12/05,247,0,,,,
Rotherham,Alan Knill,10/12/05,1/3/07,446,0,,,,
Rotherham,Mark Robins,1/3/07,9/9/09,923,0,,,,
Rotherham,Steve Thomber,9/9/09,26/09/2009,17,0,Y,Y,,
Rotherham,Ronnie Moore,26/09/2009,21/03/2011,541,0,,,,
Rotherham,Andy Liddell,22/03/2011,13/04/2011,22,1,Y,Y,,
Rotherham,Andy Scott,13/04/2011,19/03/2012,341,0,,,,
Rotherham,Steve Evans,9/4/12,28/09/2015,1267,21,,,,
Rotherham,Neil Redfearn,9/10/15,19/02/2019,1229,11,,,,
Rushden & D,Brian Talbot,1/3/97,8/3/04,2564,,,,,
Rushden & D,Barry Hunter,10/3/04,22/04/2004,43,2,Y,Y,,
Rushden & D,Ernie Tippett,22/04/2004,18/01/2005,271,0,,,,
Rushden & D,Barry Hunter,18/01/2005,23/05/2006,490,0,,,,
Rushden & D,Paul Hart,23/05/2006,16/10/2006,146,0,,,,Not in top 4 divisions - no need to be current
Scarborough,Neil Warnock,1/8/86,1/1/89,884,,,,Y,
Scarborough,Colin Morris,1/1/89,6/11/89,309,0,,,,
Scarborough,Ray McHale,20/11/1989,1/4/93,1228,14,,,,
Scarborough,Phil Chambers,1/4/93,18/10/1993,200,0,,,,
Scarborough,Steve Wicks,27/10/1993,1/8/94,278,9,,,,
Scarborough,Billy Ayre,1/8/94,12/12/94,133,0,,,,
Scarborough,Ray McHale,18/12/1994,30/03/1996,468,6,,,,Amended based on http://www.thefreelibrary.com/Cook+has+survival+recipe.-a061176571
