,Team,ELO,Year
312,Aldershot,1013.7365699141739,1960
313,Derby County,1470.8556007763343,1960
314,Bristol Rovers,1499.0392368270761,1960
315,Shrewsbury Town,1239.4092494190918,1960
316,Crewe Alexandra,1039.0842621508182,1960
317,Halifax Town,1263.131671443456,1960
318,Southport,980.6905060159272,1960
319,Newport County,1286.0679651567416,1960
320,Southampton,1444.7522314414718,1960
321,Millwall,1047.1316021942216,1960
322,Plymouth Argyle,1475.1858005368445,1960
323,Birmingham City,1705.9656609471122,1960
324,Peterborough United,1075.6823862818762,1960
325,Oxford United,1000.0,1960
326,Cambridge United,1000.0,1960
327,Hereford United,1000.0,1960
328,Wimbledon,1000.0,1960
329,Wigan Athletic,1000.0,1960
330,Scarborough,1000.0,1960
331,Maidstone United,1000.0,1960
332,Barnet,1000.0,1960
333,Wycombe Wanderers,1000.0,1960
334,Macclesfield,1000.0,1960
335,Cheltenham,1000.0,1960
336,Kidderminster Harriers,1000.0,1960
337,Rushden & Diamonds,1000.0,1960
338,Boston United,1000.0,1960
339,Yeovil,1000.0,1960
340,Accrington,1000.0,1960
341,Morecambe,1000.0,1960
342,Dagenham and Redbridge,1000.0,1960
343,Burton Albion,1000.0,1960
344,Stevenage Borough,1000.0,1960
345,AFC Wimbledon,1000.0,1960
346,Crawley Town,1000.0,1960
347,Fleetwood Town,1000.0,1960
348,Swindon Town,1213.5704395591836,1961
349,Notts County,1231.4442444747299,1961
350,Carlisle United,1046.580405551139,1961
351,Bradford Park Avenue,1165.789219072197,1961
352,Cardiff City,1673.5701218968545,1961
353,Barrow,996.0459650235382,1961
354,Burnley,1853.6120385386128,1961
355,Charlton Athletic,1470.3452962385265,1961
356,Fulham,1670.8494995236915,1961
357,Tranmere Rovers,1127.7927708281845,1961
358,Bolton Wanderers,1704.4632801280984,1961
359,Huddersfield Town,1478.3138458703509,1961
360,Mansfield Town,1019.2798572190854,1961
361,Stockport County,1002.3558179053342,1961
362,Leyton Orient,1555.8166901505792,1961
363,Lincoln City,1272.802859072655,1961
364,Liverpool,1613.6206478073427,1961
365,Middlesbrough,1484.4078523332896,1961
366,Reading,1280.4859239048435,1961
367,Norwich City,1486.7214985317853,1961
368,Scunthorpe United,1510.5275078193083,1961
369,Watford,1230.1690307096142,1961
370,Bristol City,1297.841969611027,1961
371,Hull City,1242.888446773134,1961
372,AFC Bournemouth,1275.0235671004446,1961
373,Coventry City,1239.0656848746987,1961
374,Luton Town,1510.4730489929048,1961
375,Manchester United,1737.5043961752979,1961
376,Chesterfield,1075.5229245886455,1961
377,Colchester United,1167.6936378600922,1961
378,Leicester City,1741.5588819677005,1961
379,Hartlepool United,898.136626873633,1961
380,Newcastle United,1570.1123997095078,1961
381,Chester,911.3187116146379,1961
382,Oldham Athletic,1030.9643363747452,1961
383,Port Vale,1249.3744986268835,1961
384,Gillingham,1013.1175321274247,1961
385,Sheffield Wednesday,1796.1582358945514,1961
386,Preston North End,1576.3372348238297,1961
387,Exeter City,994.8529616876403,1961
388,Aston Villa,1723.7313312181582,1961
389,Tottenham Hotspur,1862.8708502830148,1961
390,Wolverhampton Wanderers,1783.3340885144985,1961
391,Brentford,1178.5753746644348,1961
392,Portsmouth,1427.8302931496482,1961
393,Crystal Palace,1212.0524443876197,1961
394,Sheffield United,1688.3019622766474,1961
395,Queens Park Rangers,1328.7926076461179,1961
396,Gateshead,930.1773544730905,1961
397,Blackburn Rovers,1718.7574531518333,1961
398,Darlington,1028.0410878557927,1961
399,Blackpool,1709.8583827225339,1961
400,West Ham United,1746.5545030180301,1961
401,Rochdale,995.8295562551037,1961
402,York City,1084.282668504239,1961
403,Workington,1074.4161457033513,1961
404,Bury,1405.9508356001777,1961
405,Leeds United,1489.0874013514485,1961
406,Arsenal,1764.8858102925735,1961
407,Grimsby Town,1246.8596415516586,1961
408,West Bromwich Albion,1744.1821090211458,1961
409,Nottingham Forest,1684.7109059326365,1961
410,Barnsley,1198.7007115012088,1961
411,Southend United,1195.2415435839139,1961
412,Everton,1806.0738791626356,1961
413,Ipswich Town,1701.4194871343486,1961
414,Accrington Stanley,955.7591325624334,1961
415,Wrexham,1142.6840748825193,1961
416,Bradford City,1083.1638481480297,1961
417,Sunderland,1531.8480490183001,1961
418,Manchester City,1664.1672563504442,1961
419,Stoke City,1496.2542506644268,1961
420,Chelsea,1660.4923566408306,1961
421,Rotherham United,1496.0683264634247,1961
422,Doncaster Rovers,1014.7160308762453,1961
423,Swansea City,1514.599567962015,1961
424,Northampton Town,1199.710988635577,1961
425,Walsall,1389.8785289960372,1961
426,Brighton & Hove Albion,1462.7071749357067,1961
427,Torquay United,1137.2052286552646,1961
428,Aldershot,1059.5697883914693,1961
429,Derby County,1502.642739556459,1961
430,Bristol Rovers,1446.6768146719292,1961
431,Shrewsbury Town,1211.0742955131834,1961
432,Crewe Alexandra,1026.5696569412275,1961
433,Halifax Town,1231.8912093095462,1961
434,Southport,1006.8716341540593,1961
435,Newport County,1104.0368534402767,1961
436,Southampton,1486.2155490548007,1961
437,Millwall,1104.85594925949,1961
438,Plymouth Argyle,1511.0628689646726,1961
439,Birmingham City,1695.5431454959244,1961
440,Peterborough United,1216.706343664102,1961
441,Oxford United,1000.0,1961
442,Cambridge United,1000.0,1961
443,Hereford United,1000.0,1961
444,Wimbledon,1000.0,1961
445,Wigan Athletic,1000.0,1961
446,Scarborough,1000.0,1961
447,Maidstone United,1000.0,1961
448,Barnet,1000.0,1961
449,Wycombe Wanderers,1000.0,1961
450,Macclesfield,1000.0,1961
451,Cheltenham,1000.0,1961
452,Kidderminster Harriers,1000.0,1961
453,Rushden & Diamonds,1000.0,1961
454,Boston United,1000.0,1961
455,Yeovil,1000.0,1961
456,Accrington,1000.0,1961
457,Morecambe,1000.0,1961
458,Dagenham and Redbridge,1000.0,1961
459,Burton Albion,1000.0,1961
460,Stevenage Borough,1000.0,1961
461,AFC Wimbledon,1000.0,1961
462,Crawley Town,1000.0,1961
463,Fleetwood Town,1000.0,1961
464,Swindon Town,1291.4140251575213,1962
465,Notts County,1254.9882080682353,1962
466,Carlisle United,1074.696678743597,1962
467,Bradford Park Avenue,1191.8576323092823,1962
468,Cardiff City,1583.5583236803452,1962
469,Barrow,1060.9735685883002,1962
470,Burnley,1829.5385180210553,1962
471,Charlton Athletic,1449.279981638756,1962
472,Fulham,1632.954556536191,1962
473,Tranmere Rovers,1091.35676263903,1962
474,Bolton Wanderers,1729.6276936831357,1962
475,Huddersfield Town,1520.3050122875,1962
476,Mansfield Town,1093.1975992941325,1962
477,Stockport County,1032.0573895172195,1962
478,Leyton Orient,1552.82582265899,1962
479,Lincoln City,1119.7421752155904,1962
480,Liverpool,1707.8012705442216,1962
481,Middlesbrough,1526.4634663268082,1962
482,Reading,1218.2200127448534,1962
483,Norwich City,1466.4074545388005,1962
484,Scunthorpe United,1515.266200863867,1962
485,Watford,1225.3093562405631,1962
486,Bristol City,1239.4166364133048,1962
487,Hull City,1269.2259530832152,1962
488,AFC Bournemouth,1306.9195273028372,1962
489,Coventry City,1257.1532552796316,1962
490,Luton Town,1425.9695636441684,1962
491,Manchester United,1724.0441914847288,1962
492,Chesterfield,1034.4181034254348,1962
493,Colchester United,1141.2985111597086,1962
494,Leicester City,1764.1440536184575,1962
495,Hartlepool United,898.8329265717874,1962
496,Newcastle United,1545.2349464357967,1962
497,Chester,957.7794155105211,1962
498,Oldham Athletic,1124.4300895107992,1962
499,Port Vale,1235.5948855505353,1962
500,Gillingham,1058.350664339642,1962
501,Sheffield Wednesday,1737.7810807409912,1962
502,Preston North End,1502.6183204202785,1962
503,Exeter City,968.1130845568549,1962
504,Aston Villa,1767.5423309098571,1962
505,Tottenham Hotspur,1852.6640123102097,1962
506,Wolverhampton Wanderers,1742.5736724143715,1962
507,Brentford,1196.1043104915602,1962
508,Portsmouth,1464.6972319136287,1962
509,Crystal Palace,1144.3685807207182,1962
510,Sheffield United,1720.6521858581527,1962
511,Queens Park Rangers,1321.7899178143664,1962
512,Gateshead,930.1773544730905,1962
513,Blackburn Rovers,1702.3334144780079,1962
514,Darlington,1038.3447306173084,1962
515,Blackpool,1687.1941930355292,1962
516,West Ham United,1718.9729426363506,1962
517,Rochdale,1073.5764302619737,1962
518,York City,998.1877910219073,1962
519,Workington,1067.0694989076383,1962
520,Bury,1525.3243003363236,1962
521,Leeds United,1502.338381313788,1962
522,Arsenal,1740.33520715112,1962
523,Grimsby Town,1358.5419458176411,1962
524,West Bromwich Albion,1749.4332071426413,1962
525,Nottingham Forest,1716.6238500641236,1962
526,Barnsley,1200.8921131972713,1962
527,Southend United,1232.8255314100315,1962
528,Everton,1853.2895005586884,1962
529,Ipswich Town,1719.9930683673865,1962
530,Accrington Stanley,922.2677552187017,1962
531,Wrexham,1161.6182961819893,1962
532,Bradford City,1064.8480150647179,1962
533,Sunderland,1583.4354168496836,1962
534,Manchester City,1694.5928875283666,1962
535,Stoke City,1540.9014284647371,1962
536,Chelsea,1676.8923444720233,1962
537,Rotherham United,1451.1212216117149,1962
538,Doncaster Rovers,979.2009634791999,1962
539,Swansea City,1487.9483996783079,1962
540,Northampton Town,1262.6250501248267,1962
541,Walsall,1395.2063793764678,1962
542,Brighton & Hove Albion,1288.6263454847797,1962
543,Torquay United,1125.9718359779167,1962
544,Aldershot,1042.2849501635023,1962
545,Derby County,1423.158778131495,1962
546,Bristol Rovers,1326.1275051679786,1962
547,Shrewsbury Town,1196.7738357755734,1962
548,Crewe Alexandra,1073.38953096506,1962
549,Halifax Town,1159.1477046081434,1962
550,Southport,1006.4571449092817,1962
551,Newport County,1054.7996649295874,1962
552,Southampton,1481.6070259718304,1962
553,Millwall,1148.584744218685,1962
554,Plymouth Argyle,1540.7162918282004,1962
555,Birmingham City,1693.8065557356965,1962
556,Peterborough United,1308.6341054896682,1962
557,Oxford United,1024.2432010214895,1962
558,Cambridge United,1000.0,1962
559,Hereford United,1000.0,1962
560,Wimbledon,1000.0,1962
561,Wigan Athletic,1000.0,1962
562,Scarborough,1000.0,1962
563,Maidstone United,1000.0,1962
564,Barnet,1000.0,1962
565,Wycombe Wanderers,1000.0,1962
566,Macclesfield,1000.0,1962
567,Cheltenham,1000.0,1962
568,Kidderminster Harriers,1000.0,1962
569,Rushden & Diamonds,1000.0,1962
570,Boston United,1000.0,1962
571,Yeovil,1000.0,1962
572,Accrington,1000.0,1962
573,Morecambe,1000.0,1962
574,Dagenham and Redbridge,1000.0,1962
575,Burton Albion,1000.0,1962
576,Stevenage Borough,1000.0,1962
577,AFC Wimbledon,1000.0,1962
578,Crawley Town,1000.0,1962
